IR,Hall,acce,gyro,magn,FSR,cap,photoLight,bio,mic,ultrasound,bend,buttonsResistance,video,piezo,pressureFlow,fabric
4,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,17,5,2,3,0,0,0,0,0,0,3,0,1,0,0
0,0,5,6,2,2,0,0,0,0,0,0,1,0,0,0,0
0,0,2,2,3,2,0,0,0,0,0,0,1,0,0,0,0
0,0,3,2,2,8,0,0,0,0,0,0,3,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1,0,3,1,1,3,0,0,0,0,0,0,6,0,1,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
