IR,Hall,acce,gyro,magn,FSR,cap,photoLight,bio,mic,ultrasound,bend,buttonsResistance,video,piezo,pressureFlow,fabric
3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,3,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0
0,1,19,11,6,1,0,0,0,0,1,0,2,0,1,1,1
0,1,11,11,6,0,0,0,0,0,0,0,0,0,0,0,0
0,1,6,6,7,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,6,0,0,0,0,1,2,2,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,1,0,0,0,0,3,2,3,0,1,0,0
0,1,0,0,0,2,0,0,0,0,2,3,2,0,0,0,0
1,1,2,0,0,2,0,0,0,0,3,2,6,0,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,1,0,0,0,0,0,0,0,1,0,2,0,4,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
